2007-09-18,2007-09-18,0.0300,2007-09-19
2007-07-04,2007-07-04,0.1500,2007-07-05
2007-05-18,2007-05-18,1.5500,2007-05-21
2006-10-13,2006-10-13,0.0600,2006-10-16
2006-06-21,2006-06-21,0.0600,2006-06-22
